对象,得分
对象1,34.92568690459122
对象2,2.2012286127297465
对象3,15.588617781978735
对象4,25.728852566116093
对象5,2.9925938471913716
对象6,6.780018180300731
对象7,13.48769911804033
对象8,15.052485715558062
对象9,14.297341261871468
对象10,32.68030230880815
对象11,32.643328991440264
对象12,19.792110268138362
对象13,32.32067330358721
对象14,2.5673429473518805
对象15,21.560826992784126
对象16,3.896247469413181
对象17,31.008974400920707
对象18,35.63639540110131
对象19,10.090711787319751
对象20,10.066029621681313
对象21,11.890132341378399
对象22,3.2724238473656264
对象23,25.686312633728164
对象24,22.229366892089768
对象25,24.436693024218656
对象26,3.1957723521513204
对象27,13.78423278688671
对象28,0.32128598145899634
对象29,16.49983127338791
对象30,29.85663476947691
对象31,5.138313061343021
对象32,35.24616857694658
对象33,16.700046282625273
对象34,16.357623935713338
对象35,12.29874885966904
对象36,38.7030048231061
对象37,4.620860679158927
对象38,37.45470596041096
对象39,33.62130671441127
对象40,36.055967433440834
对象41,2.559444779617679
对象42,36.27133076224496
对象43,30.8051592111566
对象44,39.003374991535004
对象45,36.062188042821205
对象46,23.806994165615784
对象47,4.176929013384516
对象48,24.04588181613583
对象49,12.112543110737061
对象50,7.148179865316675
对象51,15.09481590988802
对象52,23.156702978924425
对象53,38.56156432307284
对象54,2.2205490013071483
对象55,20.83772293825515
对象56,2.337301629050228
对象57,8.240694760594076
对象58,0.832709810288037
对象59,3.6646039323643853
对象60,16.66410763985266
对象61,33.313487340836126
对象62,38.79328270397221
对象63,37.3342088234071
对象64,7.9989115562749635
对象65,2.2363826718088875
对象66,19.5997936407162
对象67,6.729885945727703
对象68,6.039445493396971
对象69,1.4304770979435233
对象70,15.204708476610978
对象71,23.938584237606968
对象72,25.989447678423822
对象73,32.98724035152142
对象74,4.93787230436685
对象75,11.528845551804622
对象76,7.535979611726931
对象77,28.833699504179773
对象78,10.287657871786621
对象79,14.749231504152224
对象80,27.689405525507496
对象81,3.300722964827969
对象82,35.322869431190966
对象83,10.233025594366278
对象84,27.32446802870788
对象85,11.910827711353722
对象86,3.513861516957175
对象87,18.807135987730668
对象88,33.75844894723413
对象89,34.87717390912765
对象90,38.384557526760226
对象91,31.710083720045606
对象92,5.911300165119302
对象93,16.323822172299145
对象94,23.909922456058
对象95,12.924441515778092
对象96,13.001144270771213
对象97,13.418791171596624
对象98,29.222873277329
对象99,31.106538504250768
对象100,6.662175714689176
对象101,24.9415310178515
对象102,8.380517679240672
对象103,23.238197906958817
对象104,12.484886707726472
对象105,13.605278172724615
对象106,7.868512554698999
对象107,17.242938883293213
对象108,37.17551898169593
对象109,9.081753127334927
对象110,15.698536456140491
对象111,2.86028444709014
对象112,3.4007797328052103
对象113,37.20301464614279
对象114,13.198033936092814
对象115,4.982676835192885
对象116,27.73950384091654
对象117,12.887205844834098
对象118,2.4141167317405277
对象119,29.44359780456316
对象120,35.510226742162544
对象121,1.7837737635131345
对象122,7.358348274598798
对象123,8.142777733698816
对象124,4.5260613556855755
对象125,23.86071194959188
对象126,3.1596024193110805
对象127,26.64157149123674
对象128,2.675286202735654
对象129,17.941417721388966
对象130,32.53835402300976
对象131,19.256897646078666
对象132,33.606434003841464
对象133,33.3997314108774
对象134,39.33831407751842
对象135,8.172980860692697
对象136,3.7957152021755824
对象137,4.169020190702555
对象138,16.907433506099075
对象139,27.733026585311052
对象140,36.51148872474994
对象141,9.755258382601951
对象142,21.42772807230871
对象143,7.058353467566114
对象144,16.43530211068669
对象145,12.160713594535979
对象146,1.17166014442033
对象147,22.67062939894553
对象148,0.025385655808123353
对象149,37.15810929206272
对象150,18.518505306160613
对象151,3.44781039376171
对象152,22.49489771351454
对象153,23.62248359018304
对象154,23.47125817942381
对象155,29.927211350119222
对象156,36.09398539732305
对象157,29.963165779953655
对象158,27.13645139583128
对象159,9.485892868453881
对象160,12.98871738128138
对象161,6.7277108533683405
对象162,17.207951302969505
对象163,30.17020813614132
对象164,6.530464968387442
对象165,0.6909483197778421
对象166,19.97388405332876
对象167,22.36419717267422
对象168,36.69637219721206
对象169,27.65712658167455
对象170,22.262756090043432
对象171,7.316794864040195
对象172,18.319795122391195
对象173,2.765450612785818
对象174,36.05052831750887
对象175,39.015024156658185
对象176,8.613580394347089
对象177,14.751889029477931
对象178,16.75530000132886
对象179,34.39683654844816
对象180,33.160030203860714
对象181,13.423259602562808
对象182,22.21319711444703
对象183,20.814911824551817
对象184,32.52557291649736
对象185,10.474833007212844
对象186,34.10053359275538
对象187,34.5692464059433
对象188,31.429281228714764
对象189,37.13235032112824
对象190,7.787098150764531
对象191,37.352363085742454
对象192,17.06127047887158
对象193,1.0564190860452882
对象194,22.062093859898397
对象195,6.406907968774473
对象196,25.155326155210645
对象197,35.97592079080549
对象198,34.145390992019784
对象199,21.08070181940259
对象200,18.44399345557139
